Date,Price,Open,High,Low,Vol.,Change %
2021-12-02,56496.0,57207.8,57377.5,55807.9,54.94,-1.25
2021-12-03,53631.5,56495.2,57543.6,52008.9,89.2,-5.07
2021-12-04,49195.2,53620.7,53847.2,42587.8,168.0,-8.27
2021-12-05,49405.5,49196.4,49689.3,47797.8,72.03,0.43
2021-12-06,50562.1,49412.1,50913.3,47237.9,89.68,2.34
2021-12-07,50595.2,50547.4,51918.6,50070.9,56.29,0.07
2021-12-08,50473.9,50596.6,51204.7,48700.7,55.59,-0.24
2021-12-09,47596.6,50477.6,50790.2,47341.9,58.69,-5.7
2021-12-10,47137.2,47591.7,49974.8,47007.1,68.06,-0.97
2021-12-11,49314.5,47138.4,49487.0,46834.0,45.23,4.62
2021-12-12,50081.0,49332.5,50779.2,48670.5,40.3,1.55
2021-12-13,46703.6,50075.9,50196.1,45848.2,80.37,-6.74
2021-12-14,48366.5,46709.8,48635.0,46338.3,62.54,3.56
2021-12-15,48871.5,48366.2,49477.9,46572.6,80.28,1.04
2021-12-16,47628.2,48876.6,49387.8,47543.9,48.2,-2.54
2021-12-17,46172.2,47630.4,47997.2,45523.8,67.5,-3.06
2021-12-18,46856.2,46171.8,47330.2,45513.4,36.93,1.48
2021-12-19,46704.5,46855.7,48270.2,46438.4,44.05,-0.32
2021-12-20,46895.2,46703.4,47488.9,45577.3,57.53,0.41
2021-12-21,48902.0,46900.1,49306.1,46654.0,57.88,4.28
2021-12-22,48599.7,48898.7,49540.3,48449.7,40.89,-0.62
2021-12-23,50801.0,48599.6,51355.6,48053.4,56.24,4.53
2021-12-24,50786.1,50807.4,51795.3,50428.4,45.97,-0.03
2021-12-25,50406.4,50789.6,51140.2,50196.8,26.67,-0.75
2021-12-26,50779.9,50404.0,51247.0,49527.0,32.34,0.74
2021-12-27,50678.2,50783.6,52016.3,50459.0,43.9,-0.2
2021-12-28,47545.2,50703.4,50703.8,47345.7,74.39,-6.18
2021-12-29,46461.7,47548.4,48121.7,46127.8,63.92,-2.28
2021-12-30,47123.3,46470.7,47901.4,46003.0,60.96,1.42
2021-12-31,46219.5,47123.3,48553.9,45693.6,58.18,-1.92
2022-01-01,47738.0,46217.5,47917.6,46217.5,31.24,3.29
2022-01-02,47311.8,47738.7,47944.9,46718.2,27.02,-0.89
2022-01-03,46430.2,47293.9,47556.0,45704.0,41.06,-1.86
2022-01-04,45837.3,46435.7,47505.4,45602.1,55.59,-1.28
2022-01-05,43425.9,45833.1,47019.4,42535.1,83.74,-5.26
2022-01-06,43097.5,43431.6,43772.3,42481.1,63.08,-0.76
2022-01-07,41546.7,43097.9,43127.7,40810.0,88.36,-3.6
2022-01-08,41672.0,41551.3,42304.4,40574.3,52.54,0.3
2022-01-09,41848.3,41681.2,42764.4,41260.9,37.51,0.42
2022-01-10,41832.2,41848.9,42243.8,39697.0,85.5,-0.04
2022-01-11,42733.2,41829.1,43090.2,41287.6,61.78,2.15
2022-01-12,43901.0,42735.0,44243.6,42476.7,53.95,2.73
2022-01-13,42560.0,43900.0,44404.7,42337.5,53.42,-3.05
2022-01-14,43073.3,42562.2,43435.1,41848.7,50.5,1.21
2022-01-15,43097.0,43073.6,43777.9,42586.1,31.44,0.06
2022-01-16,43079.1,43079.2,43462.0,42643.3,28.66,-0.04
